Acronym (Mandatory),Stands For (Mandatory),Url,Description,State (Mandatory),Last Modified,Last Modified By,Id
APEX,"Assessment and Planning Experience, a Microsoft sales program. See Assessment and Planning Experience  .",https://partner.microsoft.com/en-us/solutions/apex,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,e90ca240-fa4a-4f5c-a641-5f937d2eefc1
ASG,Applications and Services Group.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,f7b54715-d5d2-4906-b8f1-c0338e095ff4
BDM,Business Decision Maker.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,1e557e06-3c54-4b94-98ff-3db5b829b227
BG,Business Group.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,008febef-1058-4147-9906-08c1d23e19e2
C+E,Cloud and Enterprise team.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,24e45050-b6a8-495b-a339-c9bcde0cfd06
CAL,Client Access License. See Client Access Licenses and Management Licenses  .,https://www.microsoft.com/en-us/licensing/product-licensing/client-access-license,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,03c40518-811c-457f-8926-5c36ea68b787
CDN,Content Delivery Network.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,5281d4a4-1181-4326-8d48-9e4102b494b5
COA,Certificate of Authenticity. See How to Tell  .,https://www.microsoft.com/en-us/howtotell/Software.aspx,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,9b40019d-b67e-4799-b6d6-2d55809812c6
CPE,Customer Partner Experience.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,522e4e77-e6ce-4c15-a0a6-285ff075a509
CPM,Community Program Manager. Microsoft personnel that used to be called MVP Leads are now called Community Program Managers.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,f4ba2358-45f4-435e-ac0d-9f6be327bd00
CSAT,Customer SATisfaction. See Customer Satisfaction Index FAQ  .,https://www.microsoft.com/en-us/howtotell/Software.aspx,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,bbe175e3-f3ee-4d7c-a3b9-6893efabeca8
CSG,Contingent Staff,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,285f3e57-c3a4-42c4-9fa8-c624b737f93e
CSP,Cloud Solution Provider.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,fb72b729-11a1-4fe3-b7cb-baed3df67e2c
CSS,Customer Service and Support.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,cc953c65-26f9-4446-8877-90983bd2a198
CTP,Community Technology Preview (or Customer Technology Preview). Often called the beta release in the software release life cycle. See Beta.,https://en.wikipedia.org/wiki/Community_Technology_Preview#Beta,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,5fcf1f59-5e27-482e-b4a7-3dd75643a640
CU,Cumulative Update. An update for a Microsoft product that includes any previous updates not already applied to the product.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,fb874bd4-cb4d-4a80-be58-2c49171b7263
CXP,Customer EXPerience Team.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,4a440f56-ba5c-4f71-a625-613b28521a18
